<org.apache.commons.csv.CSVParser$CSVRecordIterator: java.lang.Object next()> , $r0 = <jdk.internal.misc.TerminatingThreadLocal: java.lang.ThreadLocal REGISTRY>
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , if i1 != -1 goto $r4 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content> , $r6 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content>
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , if i1 != -1 goto $r4 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content> , $r4 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content>
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , $r6 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content> , $c3 = (char) i6
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , $c3 = (char) i6 , $r7 = virtualinvoke $r6.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c3)
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , $r7 = virtualinvoke $r6.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c3) , $r8 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , $r8 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader> , $i4 = virtualinvoke $r8.<org.apache.commons.csv.ExtendedBufferedReader: int getLastChar()>()
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , $i4 = virtualinvoke $r8.<org.apache.commons.csv.ExtendedBufferedReader: int getLastChar()>() , $c5 = (char) $i4
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , $c5 = (char) $i4 , virtualinvoke $r7.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c5)
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , virtualinvoke $r7.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c5) , goto [?= (branch)]
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , goto [?= (branch)] , goto [?= $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>]
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , $r4 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content> , $c2 = (char) i1
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , $c2 = (char) i1 , virtualinvoke $r4.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c2)
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , virtualinvoke $r4.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c2) , goto [?= $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>]
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , goto [?= $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>] , $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , $r2 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content> , $c0 = (char) i6
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , $c0 = (char) i6 , virtualinvoke $r2.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c0)
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , virtualinvoke $r2.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c0) , $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader> , i6 = virtualinvoke $r17.<org.apache.commons.csv.ExtendedBufferedReader: int read()>()
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , i6 = virtualinvoke $r17.<org.apache.commons.csv.ExtendedBufferedReader: int read()>() , goto [?= $z0 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean readEndOfLine(int)>(i6)]
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , goto [?= $z0 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean readEndOfLine(int)>(i6)] , $z0 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean readEndOfLine(int)>(i6)
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces> , if $z5 == 0 goto return r1
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , if $z5 == 0 goto return r1 , $r14 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content>
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , if $z5 == 0 goto return r1 , return r1
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , $r14 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content> , virtualinvoke r0.<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)>($r14)
<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()> , virtualinvoke r0.<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)>($r14) , return r1
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , r0 := @this: org.apache.commons.csv.Lexer
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , r0 := @this: org.apache.commons.csv.Lexer , r1 := @parameter0: org.apache.commons.csv.Token
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , r1 := @parameter0: org.apache.commons.csv.Token , i6 := @parameter1: int
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , i6 := @parameter1: int , $z0 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean readEndOfLine(int)>(i6)
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , $z0 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean readEndOfLine(int)>(i6) , if $z0 == 0 goto $z1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEndOfFile(int)>(i6)
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , if $z0 == 0 goto $z1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEndOfFile(int)>(i6) , $r16 = <org.apache.commons.csv.Token$Type: org.apache.commons.csv.Token$Type EORECORD>
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , if $z0 == 0 goto $z1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEndOfFile(int)>(i6) , $z1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEndOfFile(int)>(i6)
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , $r16 = <org.apache.commons.csv.Token$Type: org.apache.commons.csv.Token$Type EORECORD> , r1.<org.apache.commons.csv.Token: org.apache.commons.csv.Token$Type type> = $r16
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , r1.<org.apache.commons.csv.Token: org.apache.commons.csv.Token$Type type> = $r16 , goto [?= $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces>]
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , goto [?= $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces>] , $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces>
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , $z1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEndOfFile(int)>(i6) , if $z1 == 0 goto $z2 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isDelimiter(int)>(i6)
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , if $z1 == 0 goto $z2 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isDelimiter(int)>(i6) , $r15 = <org.apache.commons.csv.Token$Type: org.apache.commons.csv.Token$Type EOF>
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , if $z1 == 0 goto $z2 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isDelimiter(int)>(i6) , $z2 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isDelimiter(int)>(i6)
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , $r15 = <org.apache.commons.csv.Token$Type: org.apache.commons.csv.Token$Type EOF> , r1.<org.apache.commons.csv.Token: org.apache.commons.csv.Token$Type type> = $r15
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , r1.<org.apache.commons.csv.Token: org.apache.commons.csv.Token$Type type> = $r15 , r1.<org.apache.commons.csv.Token: boolean isReady> = 1
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , r1.<org.apache.commons.csv.Token: boolean isReady> = 1 , goto [?= $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces>]
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , goto [?= $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces>] , $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces>
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , $z2 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isDelimiter(int)>(i6) , if $z2 == 0 goto $z3 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEscape(int)>(i6)
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , if $z2 == 0 goto $z3 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEscape(int)>(i6) , $r13 = <org.apache.commons.csv.Token$Type: org.apache.commons.csv.Token$Type TOKEN>
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , if $z2 == 0 goto $z3 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEscape(int)>(i6) , $z3 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEscape(int)>(i6)
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , $r13 = <org.apache.commons.csv.Token$Type: org.apache.commons.csv.Token$Type TOKEN> , r1.<org.apache.commons.csv.Token: org.apache.commons.csv.Token$Type type> = $r13
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , r1.<org.apache.commons.csv.Token: org.apache.commons.csv.Token$Type type> = $r13 , goto [?= $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces>]
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , goto [?= $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces>] , $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces>
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , $z3 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEscape(int)>(i6) , if $z3 == 0 goto $r2 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content>
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , if $z3 == 0 goto $r2 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content> , $z4 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()>()
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , if $z3 == 0 goto $r2 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content> , $r2 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content>
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , $z4 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEscapeDelimiter()>() , if $z4 == 0 goto i1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: int readEscape()>()
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , if $z4 == 0 goto i1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: int readEscape()>() , $r11 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content>
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , if $z4 == 0 goto i1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: int readEscape()>() , i1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: int readEscape()>()
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , $r11 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content> , $r10 = r0.<org.apache.commons.csv.Lexer: char[] delimiter>
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , $r10 = r0.<org.apache.commons.csv.Lexer: char[] delimiter> , virtualinvoke $r11.<java.lang.StringBuilder: java.lang.StringBuilder append(char[])>($r10)
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , virtualinvoke $r11.<java.lang.StringBuilder: java.lang.StringBuilder append(char[])>($r10) , goto [?= $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>]
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , goto [?= $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>] , $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , i1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: int readEscape()>() , if i1 != -1 goto $r4 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content>
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , if i1 != -1 goto $r4 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content> , $r6 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content>
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , if i1 != -1 goto $r4 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content> , $r4 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content>
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , $r6 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content> , $c3 = (char) i6
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , $c3 = (char) i6 , $r7 = virtualinvoke $r6.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c3)
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , $r7 = virtualinvoke $r6.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c3) , $r8 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , $r8 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader> , $i4 = virtualinvoke $r8.<org.apache.commons.csv.ExtendedBufferedReader: int getLastChar()>()
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , $i4 = virtualinvoke $r8.<org.apache.commons.csv.ExtendedBufferedReader: int getLastChar()>() , $c5 = (char) $i4
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , $c5 = (char) $i4 , virtualinvoke $r7.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c5)
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , virtualinvoke $r7.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c5) , goto [?= (branch)]
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , goto [?= (branch)] , goto [?= $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>]
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , $r4 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content> , $c2 = (char) i1
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , $c2 = (char) i1 , virtualinvoke $r4.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c2)
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , virtualinvoke $r4.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c2) , goto [?= $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>]
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , goto [?= $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>] , $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , $r2 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content> , $c0 = (char) i6
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , $c0 = (char) i6 , virtualinvoke $r2.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c0)
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , virtualinvoke $r2.<java.lang.StringBuilder: java.lang.StringBuilder append(char)>($c0) , $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader>
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , $r17 = r0.<org.apache.commons.csv.Lexer: org.apache.commons.csv.ExtendedBufferedReader reader> , i6 = virtualinvoke $r17.<org.apache.commons.csv.ExtendedBufferedReader: int read()>()
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , i6 = virtualinvoke $r17.<org.apache.commons.csv.ExtendedBufferedReader: int read()>() , goto [?= $z0 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean readEndOfLine(int)>(i6)]
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , goto [?= $z0 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean readEndOfLine(int)>(i6)] , $z0 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean readEndOfLine(int)>(i6)
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces> , if $z5 == 0 goto return r1
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , if $z5 == 0 goto return r1 , $r14 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content>
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , if $z5 == 0 goto return r1 , return r1
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , $r14 = r1.<org.apache.commons.csv.Token: java.lang.StringBuilder content> , virtualinvoke r0.<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)>($r14)
<org.apache.commons.csv.Lexer: boolean isEscape(int)> , virtualinvoke r0.<org.apache.commons.csv.Lexer: void trimTrailingSpaces(java.lang.StringBuilder)>($r14) , return r1
<org.apache.commons.csv.Lexer: boolean isDelimiter(int)> , r0 := @this: org.apache.commons.csv.Lexer
<org.apache.commons.csv.Lexer: boolean isDelimiter(int)> , r0 := @this: org.apache.commons.csv.Lexer , r1 := @parameter0: org.apache.commons.csv.Token
<org.apache.commons.csv.Lexer: boolean isDelimiter(int)> , r1 := @parameter0: org.apache.commons.csv.Token , i6 := @parameter1: int
<org.apache.commons.csv.Lexer: boolean isDelimiter(int)> , i6 := @parameter1: int , $z0 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean readEndOfLine(int)>(i6)
<org.apache.commons.csv.Lexer: boolean isDelimiter(int)> , $z0 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean readEndOfLine(int)>(i6) , if $z0 == 0 goto $z1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEndOfFile(int)>(i6)
<org.apache.commons.csv.Lexer: boolean isDelimiter(int)> , if $z0 == 0 goto $z1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEndOfFile(int)>(i6) , $r16 = <org.apache.commons.csv.Token$Type: org.apache.commons.csv.Token$Type EORECORD>
<org.apache.commons.csv.Lexer: boolean isDelimiter(int)> , if $z0 == 0 goto $z1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEndOfFile(int)>(i6) , $z1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEndOfFile(int)>(i6)
<org.apache.commons.csv.Lexer: boolean isDelimiter(int)> , $r16 = <org.apache.commons.csv.Token$Type: org.apache.commons.csv.Token$Type EORECORD> , r1.<org.apache.commons.csv.Token: org.apache.commons.csv.Token$Type type> = $r16
<org.apache.commons.csv.Lexer: boolean isDelimiter(int)> , r1.<org.apache.commons.csv.Token: org.apache.commons.csv.Token$Type type> = $r16 , goto [?= $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces>]
<org.apache.commons.csv.Lexer: boolean isDelimiter(int)> , goto [?= $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces>] , $z5 = r0.<org.apache.commons.csv.Lexer: boolean ignoreSurroundingSpaces>
<org.apache.commons.csv.Lexer: boolean isDelimiter(int)> , $z1 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isEndOfFile(int)>(i6) , if $z1 == 0 goto $z2 = virtualinvoke r0.<org.apache.commons.csv.Lexer: boolean isDelimiter(int)>(i6)
